Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA
D1,26/11/06,Stuttgart,M'gladbach,1,0,H,1,0,H,17,11,10,4,16,20,1,3,0,0,1.53,3.6,6.5,1.45,3.85,6.65
D1,01/12/06,Mainz,Stuttgart,0,0,D,0,0,D,10,16,5,9,19,24,1,4,0,0,4.0,3.25,1.9,3.6,3.35,1.9
D1,02/12/06,Bayern Munich,M'gladbach,1,1,D,1,1,D,20,7,11,4,10,14,1,1,0,0,1.22,5.5,13.0,1.2,6.2,9.5
D1,02/12/06,Bielefeld,Leverkusen,0,0,D,0,0,D,15,5,8,1,13,30,1,5,0,0,2.37,3.2,2.9,2.4,3.2,2.7
D1,02/12/06,Bochum,Hamburg,2,1,H,1,1,D,10,13,9,7,24,31,3,4,0,1,2.75,3.2,2.5,2.55,3.15,2.55
D1,02/12/06,Cottbus,Hannover,0,1,A,0,1,A,4,9,2,5,14,17,1,1,1,0,2.37,3.2,2.9,2.2,3.1,3.1
D1,02/12/06,Dortmund,Wolfsburg,1,0,H,0,0,D,12,6,6,2,15,15,2,1,0,0,1.8,3.4,4.33,1.7,3.45,4.5
D1,02/12/06,Werder Bremen,Hertha,3,1,H,3,1,H,22,15,13,9,14,24,0,2,0,0,1.61,3.6,5.5,1.55,3.5,5.9
D1,03/12/06,Aachen,Ein Frankfurt,2,3,A,1,2,A,20,11,11,7,18,16,2,0,0,0,2.3,3.25,3.0,2.3,3.0,3.0
D1,03/12/06,Nurnberg,Schalke 04,0,0,D,0,0,D,14,9,8,8,18,21,1,3,0,0,2.87,3.2,2.4,3.1,3.0,2.25
D1,08/12/06,Leverkusen,Hertha,2,1,H,1,1,D,21,10,12,5,24,22,3,2,0,1,2.1,3.25,3.4,2.2,3.2,3.0
D1,09/12/06,Bayern Munich,Cottbus,2,1,H,1,0,H,10,13,8,8,14,23,1,2,0,0,1.16,6.0,19.0,1.2,6.2,9.5
D1,09/12/06,Ein Frankfurt,Werder Bremen,2,6,A,1,3,A,17,12,10,9,20,23,2,2,0,0,4.5,3.3,1.8,4.3,3.2,1.8
D1,09/12/06,Hamburg,Nurnberg,0,0,D,0,0,D,10,11,6,2,17,23,1,2,0,0,2.25,3.3,3.0,2.1,3.1,3.35
D1,09/12/06,Hannover,Bielefeld,1,1,D,0,0,D,18,8,7,3,17,13,1,1,0,0,2.0,3.3,3.6,2.1,3.0,3.45
D1,09/12/06,M'gladbach,Mainz,1,1,D,1,0,H,9,14,7,6,22,18,1,2,0,0,1.8,3.3,4.5,1.85,3.3,3.9
D1,09/12/06,Stuttgart,Bochum,1,0,H,0,0,D,18,13,7,8,15,16,0,2,0,0,1.44,4.0,7.5,1.4,4.2,6.75
D1,10/12/06,Schalke 04,Dortmund,3,1,H,2,0,H,20,17,17,10,16,18,1,3,0,0,1.83,3.3,4.33,1.75,3.25,4.55
D1,10/12/06,Wolfsburg,Aachen,1,2,A,0,0,D,11,13,6,7,24,25,1,4,1,0,1.83,3.3,4.33,1.85,3.2,4.05
D1,15/12/06,Bochum,M'gladbach,2,0,H,1,0,H,22,10,11,7,14,25,0,1,0,0,2.2,3.2,3.25,2.2,3.2,3.0
D1,16/12/06,Aachen,Hamburg,3,3,D,0,1,A,16,27,12,14,21,18,3,2,0,0,2.5,3.25,2.7,2.55,3.15,2.55
D1,16/12/06,Bielefeld,Schalke 04,0,1,A,0,0,D,9,9,5,4,16,16,1,1,0,0,3.4,3.25,2.1,3.25,3.2,2.1
D1,16/12/06,Cottbus,Stuttgart,0,0,D,0,0,D,8,12,2,9,30,32,1,4,0,0,3.4,3.25,2.1,3.75,3.25,1.9
D1,16/12/06,Hertha,Ein Frankfurt,1,0,H,0,0,D,16,15,14,5,23,16,3,0,0,0,1.61,3.6,5.5,1.7,3.4,4.6
D1,16/12/06,Mainz,Bayern Munich,0,4,A,0,2,A,9,22,5,13,8,15,0,0,0,0,6.5,4.2,1.44,6.25,3.65,1.5
D1,16/12/06,Nurnberg,Hannover,3,1,H,1,1,D,13,8,9,4,18,24,3,3,0,1,2.0,3.3,3.6,1.95,3.1,3.8
D1,17/12/06,Dortmund,Leverkusen,1,2,A,0,1,A,17,10,10,7,11,21,0,0,0,0,2.3,3.25,3.0,2.2,3.1,3.1
D1,17/12/06,Werder Bremen,Wolfsburg,2,1,H,1,1,D,19,11,15,7,9,26,0,5,0,0,1.3,5.0,9.0,1.35,4.45,7.5
D1,26/01/07,Dortmund,Bayern Munich,3,2,H,1,2,A,12,14,10,6,18,19,2,2,0,0,3.75,3.2,2.0,3.55,3.25,1.95
D1,27/01/07,Bielefeld,Hamburg,1,1,D,0,1,A,10,8,3,3,15,29,4,2,0,0,2.5,3.2,2.75,2.5,3.1,2.65
D1,27/01/07,Bochum,Mainz,0,1,A,0,1,A,13,16,8,7,18,27,1,2,0,0,1.95,3.3,3.8,1.85,3.25,3.95
D1,27/01/07,Cottbus,M'gladbach,3,1,H,2,0,H,16,15,9,8,18,21,3,3,0,0,2.4,3.2,2.87,2.3,3.2,2.85
D1,27/01/07,Ein Frankfurt,Schalke 04,1,3,A,0,1,A,8,10,6,8,23,22,1,1,0,0,3.3,3.25,2.15,3.3,3.15,2.1
D1,27/01/07,Hertha,Wolfsburg,2,1,H,1,1,D,12,15,10,9,18,27,2,3,0,0,1.72,3.6,4.5,1.65,3.45,4.9
D1,27/01/07,Nurnberg,Stuttgart,4,1,H,1,1,D,19,9,15,5,12,17,2,3,0,1,2.5,3.1,2.8,2.65,2.9,2.65
D1,28/01/07,Aachen,Leverkusen,2,3,A,2,1,H,10,21,7,12,24,25,1,2,0,0,3.0,3.2,2.3,2.95,3.25,2.2
D1,28/01/07,Werder Bremen,Hannover,3,0,H,1,0,H,16,12,11,4,9,22,1,2,0,0,1.3,4.75,10.0,1.35,4.3,8.0
D1,30/01/07,Bayern Munich,Bochum,0,0,D,0,0,D,22,8,12,6,11,21,1,2,0,0,1.22,5.5,13.0,1.2,6.0,10.0
D1,30/01/07,M'gladbach,Nurnberg,0,0,D,0,0,D,7,7,1,4,21,34,1,2,0,0,2.4,3.2,2.87,2.5,3.0,2.7
D1,30/01/07,Stuttgart,Bielefeld,3,2,H,1,1,D,15,9,7,5,26,18,2,4,0,1,1.61,3.6,5.5,1.55,3.7,5.4
D1,30/01/07,Wolfsburg,Ein Frankfurt,2,2,D,1,0,H,11,15,6,9,22,27,1,2,0,0,2.0,3.2,3.75,1.9,3.15,3.9
D1,31/01/07,Hamburg,Cottbus,1,1,D,1,1,D,23,6,16,2,14,22,2,1,0,0,1.75,3.4,4.75,1.7,3.35,4.7
D1,31/01/07,Hannover,Hertha,5,0,H,3,0,H,14,10,9,5,19,15,1,2,0,0,2.5,3.2,2.75,2.5,3.1,2.65
D1,31/01/07,Leverkusen,Werder Bremen,0,2,A,0,1,A,19,18,10,8,19,20,0,3,1,0,3.0,3.25,2.3,3.05,3.25,2.15
D1,31/01/07,Mainz,Dortmund,1,0,H,0,0,D,13,13,5,7,21,16,2,3,0,0,3.1,3.2,2.25,2.9,3.25,2.25
D1,31/01/07,Schalke 04,Aachen,2,1,H,1,1,D,17,10,11,4,23,23,1,1,0,0,1.33,4.75,9.0,1.3,4.85,8.0
D1,02/02/07,Nurnberg,Bayern Munich,3,0,H,1,0,H,9,15,6,8,21,21,4,3,0,0,3.8,3.3,1.95,3.8,3.2,1.9
D1,03/02/07,Aachen,Hannover,1,4,A,1,3,A,15,8,10,6,18,34,1,2,0,0,2.4,3.2,2.8,2.4,3.2,2.7
D1,03/02/07,Bielefeld,M'gladbach,0,2,A,0,1,A,10,12,4,5,14,22,3,3,0,0,2.0,3.3,3.6,2.0,3.2,3.5
D1,03/02/07,Cottbus,Bochum,0,0,D,0,0,D,14,12,6,6,15,26,0,2,0,0,2.25,3.2,3.1,2.1,3.2,3.2
